3,"[1, 2, 3]"
4,"[1, 2, 3, 5, 5, 5, 3]"
5,"[1, 2, 3, 5, 8, 12, 15, 20, 22, 19, 11, 2]"
6,"[1, 2, 3, 5, 8, 13, 20, 30, 42, 56, 73, 87, 98, 101, 85, 59, 29, 7, 1]"
7,"[1, 2, 3, 5, 8, 13, 21, 33, 52, 78, 110, 151, 203, 265, 337, 417, 485, 530, 554, 552, 499, 388, 227, 83, 21, 2]"
8,"[1, 2, 3, 5, 8, 13, 21, 34, 54, 86, 133, 195, 275, 379, 514, 685, 901, 1170, 1492, 1850, 2217, 2586, 2947, 3276, 3534, 3649, 3589, 3343, 2865, 2167, 1358, 688, 239, 31, 9, 1]"
9,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 88, 141, 221, 332, 479, 671, 923, 1253, 1681, 2235, 2948, 3859, 5010, 6420, 8074, 9939, 12008, 14281, 16727, 19268, 21785, 24173, 26209, 27523, 27766, 27003, 25493, 23053, 19472, 14997, 10111, 5624, 2259, 574, 108, 28, 2]"
10,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 143, 230, 364, 556, 817, 1162, 1616, 2214, 3001, 4032, 5381, 7141, 9430, 12402, 16227, 21054, 26973, 34016, 42208, 51628, 62390, 74591, 88312, 103617, 120479, 138566, 157000, 174461, 190050, 203804, 215904, 225908, 232431, 233633, 228261, 215663, 195505, 168235, 135391, 99605, 64890, 35925, 16203, 5628, 1296, 175, 39, 11, 1]"
11,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 232, 374, 596, 923, 1378, 1988, 2795, 3860, 5266, 7121, 9563, 12775, 16993, 22523, 29769, 39239, 51518, 67186, 86740, 110567, 139006, 172491, 211658, 257329, 310479, 372223, 443790, 526455, 621284, 728791, 848554, 978969, 1117809, 1263275, 1414376, 1569820, 1726427, 1878807, 2020305, 2143517, 2240794, 2303183, 2319126, 2276744, 2170460, 2007295, 1803501, 1570497, 1308806, 1024042, 738094, 478420, 269328, 126005, 46507, 13207, 2891, 580, 138, 34, 2]"
12,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 376, 607, 972, 1522, 2306, 3374, 4797, 6680, 9169, 12459, 16806, 22543, 30110, 40081, 53207, 70481, 93192, 122947, 161604, 211130, 273421, 350197, 443124, 554133, 685777, 841460, 1025489, 1243060, 1500253, 1804087, 2162576, 2584515, 3078964, 3654310, 4316949, 5070198, 5914172, 6847330, 7868766, 8978699, 10176348, 11457699, 12815394, 14238728, 15711204, 17204023, 18666000, 20019666, 21177161, 22076841, 22713750, 23128416, 23357135, 23382464, 23122023, 22476333, 21388679, 19854126, 17903628, 15596156, 13022930, 10319342, 7661992, 5242006, 3233947, 1750471, 808272, 308980, 95025, 24368, 4832, 942, 205, 49, 13, 1]"
13,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 377, 609, 984, 1581, 2497, 3833, 5688, 8184, 11499, 15887, 21692, 29371, 39526, 52947, 70677, 94085, 124970, 165710, 219429, 290144, 382797, 503135, 657420, 852050, 1093327, 1387676, 1742419, 2166842, 2673090, 3276739, 3997082, 4857331, 5885016, 7112651, 8578509, 10326940, 12407745, 14874185, 17779536, 21172696, 25094320, 29575807, 34642464, 40319707, 46639061, 53640294, 61369640, 69878033, 79219867, 89447804, 100600466, 112682761, 125643257, 139356902, 153621347, 168183931, 182805270, 197318307, 211626905, 225632289, 239128497, 251743421, 262963606, 272214735, 278948531, 282666343, 282864640, 278983775, 270498694, 257103859, 238871747, 216404000, 190913761, 163857592, 136340523, 109059287, 82851613, 58971633, 38727380, 23027854, 12117906, 5505115, 2116872, 690533, 197328, 50286, 11727, 2772, 654, 158, 40, 2]"
